food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed,energy_kcal_per_portion,protein_g_per_portion,fat_g_per_portion,carb_g_per_portion,sodium_mg_per_portion,potassium_mg_per_portion,calcium_mg_per_portion,fiber_g_per_portion,is_excluded_keyword,is_menu_ready
DR049,"Daun leilem, segar",KZGMI-2001,"79,4",76,2.8,0.2,15.8,3.1,"1,8",296,22,"3,4",6.0,46.0,"0,5","1,1",,753,,"0,3","0,1","2,5",22.0,90,D,DR,S,Sayur,tkpi_main_group,"daun leilem, segar",daun leilem,daun leilem,1 gelas,1.0,gelas,100.0,False,False,False,False,76.0,2.8,0.2,15.8,6.0,46.0,296.0,3.1,False,True
DR050,"Daun leunca, segar",DABM-1964,85,49,4.7,0.5,8.1,,"1,7",210,80,"6,1",,,,,,,1900,"0,14",,,40.0,70,D,DR,S,Sayur,tkpi_main_group,"daun leunca, segar",daun leunca,daun leunca,1 gelas,1.0,gelas,100.0,False,False,False,False,49.0,4.7,0.5,8.1,,,210.0,,False,True
DR051,"Daun lobak, segar",DKBM-1964,90,30,2.3,0.4,5.8,3.2,"1,4",140,33,"3,7",15.8,747.4,"0,2","0,2",,5039,1000,"0,07","1,1","6,5",109.0,70,D,DR,S,Sayur,tkpi_main_group,"daun lobak, segar",daun lobak,daun lobak,1 gelas,1.0,gelas,100.0,False,False,False,False,30.0,2.3,0.4,5.8,15.8,747.4,140.0,3.2,False,True
DR052,"Daun lompong talas, segar",DABM-1964,"87,2",44,3.0,0.8,7.4,3.3,"1,6",76,59,1,2.7,578.4,"0,2","0,4",,2584,2000,"0,08","0,4","1,4",31.0,75,D,DR,S,Sayur,tkpi_main_group,"daun lompong talas, segar",daun lompong talas,daun lompong talas,1 gelas,1.0,gelas,100.0,False,False,False,False,44.0,3.0,0.8,7.4,2.7,578.4,76.0,3.3,False,True
DR053,"Daun mangkokan, segar",DABM-1964,82,57,3.7,0.3,11.8,,"2,2",474,49,4,,,,,,,5450,"0,06",,,83.0,80,D,DR,S,Sayur,tkpi_main_group,"daun mangkokan, segar",daun mangkokan,daun mangkokan,1 gelas,1.0,gelas,100.0,False,False,False,False,57.0,3.7,0.3,11.8,,,474.0,,False,True
DR054,"Daun matel ambon, segar",KZGPI-1990,"77,1",71,6.8,1.6,11.5,4.6,3,93,95,"10,2",,,,,0.0,,49,"0,08",,,26.0,100,D,DR,S,Sayur,tkpi_main_group,"daun matel ambon, segar",daun matel ambon,daun matel ambon,1 gelas,1.0,gelas,100.0,False,False,False,False,71.0,6.8,1.6,11.5,,,93.0,4.6,False,True
DR055,"Daun melinjo, segar",DABM-1964,"70,8",104,5.0,1.3,21.3,10.3,"1,6",219,82,"4,2",12.2,604.8,"0,4","0,6",,823,10000,"0,09",,,182.0,88,D,DR,S,Sayur,tkpi_main_group,"daun melinjo, segar",daun melinjo,daun melinjo,1 gelas,1.0,gelas,100.0,False,False,False,False,104.0,5.0,1.3,21.3,12.2,604.8,219.0,10.3,False,True
DR056,"Daun mengkudu, segar",KZGPI-1990,"80,9",65,4.0,1.7,11.4,3.9,2,296,40,"6,9",,,,,0.0,2,4958,"0,01","0,1","5,7",35.0,90,D,DR,S,Sayur,tkpi_main_group,"daun mengkudu, segar",daun mengkudu,daun mengkudu,1 gelas,1.0,gelas,100.0,False,False,False,False,65.0,4.0,1.7,11.4,,,296.0,3.9,False,True
DR057,"Daun ndusuk, segar",KZGMI-2001,56,166,1.7,0.5,38.8,10.7,3,40,20,"1,8",40.0,310.0,"0,2","0,7",,14457,,"0,4","0,1","0,1",30.0,,D,DR,S,Sayur,tkpi_main_group,"daun ndusuk, segar",daun ndusuk,daun ndusuk,1 gelas,1.0,gelas,100.0,False,False,False,False,166.0,1.7,0.5,38.8,40.0,310.0,40.0,10.7,False,True
DR058,"Daun oyong, segar",DABM-1964,93,22,1.0,0.1,5.3,2.0,"0,6",21,44,2,39.9,295.5,"0,1","0,2",,855,1000,"0,08","0,1","0,8",150.0,65,D,DR,S,Sayur,tkpi_main_group,"daun oyong, segar",daun oyong,daun oyong,1 gelas,1.0,gelas,100.0,False,False,False,False,22.0,1.0,0.1,5.3,39.9,295.5,21.0,2.0,False,True
DR059,"Daun pakis, segar",KZGPI-1990,"86,8",39,4.5,0.4,6.9,2.0,"1,4",136,159,"2,3",20.1,201.9,"0,2","0,3",0.0,1625,3292,"0,02","0,1","0,5",3.0,70,D,DR,S,Sayur,tkpi_main_group,"daun pakis, segar",daun pakis,daun pakis,1 gelas,1.0,gelas,100.0,False,False,False,False,39.0,4.5,0.4,6.9,20.1,201.9,136.0,2.0,False,True
DR060,"Daun pakis longgiho, segar",KZGMI-2001,"89,5",54,2.2,3.6,3.1,2.1,"1,6",40,80,"0,7",70.0,500.0,"0,4","0,1",,168,,"0,4","0,3","0,2",8.0,70,D,DR,S,Sayur,tkpi_main_group,"daun pakis longgiho, segar",daun pakis longgiho,daun pakis longgiho,1 gelas,1.0,gelas,100.0,False,False,False,False,54.0,2.2,3.6,3.1,70.0,500.0,40.0,2.1,False,True
DR061,"Daun pakis wambateu, segar",KZGMI-2001,"86,9",53,3.4,1.2,7.2,4.8,"1,3",30,100,"0,3",20.0,200.0,"0,2","0,3",,191,,"0,7","0,2","0,3",6.0,70,D,DR,S,Sayur,tkpi_main_group,"daun pakis wambateu, segar",daun pakis wambateu,daun pakis wambateu,1 gelas,1.0,gelas,100.0,False,False,False,False,53.0,3.4,1.2,7.2,20.0,200.0,30.0,4.8,False,True
DR062,"Daun paku, segar",KZGMI-2001,"88,8",29,3.4,0.1,6.5,4.3,"1,2",13,88,"1,3",19.0,434.0,"0,5","0,7",,18,,"0,2","0,1","11,7",10.0,70,D,DR,S,Sayur,tkpi_main_group,"daun paku, segar",daun paku,daun paku,1 gelas,1.0,gelas,100.0,False,False,False,False,29.0,3.4,0.1,6.5,19.0,434.0,13.0,4.3,False,True
DR064,"Daun pare, segar",KZGMI-2001,"87,3",49,2.7,1.0,8.4,3.0,"1,6",217,70,"3,3",7.0,498.0,"0,4","1,2",,1800,,"0,4","0,2","0,6",7.0,,D,DR,S,Sayur,tkpi_main_group,"daun pare, segar",daun pare,daun pare,1 gelas,1.0,gelas,100.0,False,False,False,False,49.0,2.7,1.0,8.4,7.0,498.0,217.0,3.0,False,True
DR065,"Daun pepaya, segar",DABM-1964,"75,4",87,8.0,2.0,11.9,1.5,"2,7",353,63,"0,8",4.4,926.6,"0,2","1,5",,5409,18250,"0,15","0,5","1,9",140.0,71,D,DR,S,Sayur,tkpi_main_group,"daun pepaya, segar",daun pepaya,daun pepaya,1 gelas,1.0,gelas,100.0,False,False,False,False,87.0,8.0,2.0,11.9,4.4,926.6,353.0,1.5,False,True
DR066,"Daun pohpohan, segar",KZGPI-1990,"87,4",37,2.5,0.8,6.9,2.6,"2,4",744,80,"5,9",,,,,0.0,,7378,"0,03",,,5.0,69,D,DR,S,Sayur,tkpi_main_group,"daun pohpohan, segar",daun pohpohan,daun pohpohan,1 gelas,1.0,gelas,100.0,False,False,False,False,37.0,2.5,0.8,6.9,,,744.0,2.6,False,True
DR067,"Daun selasih, segar",KZGMI-2001,"83,1",62,4.0,0.5,10.5,5.3,"1,9",122,16,"13,9",3.0,259.0,"0,4","0,7",0.0,4112,,"0,5","0,1","0,2",24.0,53,D,DR,S,Sayur,tkpi_main_group,"daun selasih, segar",daun selasih,daun selasih,1 gelas,1.0,gelas,100.0,False,False,False,False,62.0,4.0,0.5,10.5,3.0,259.0,122.0,5.3,False,True
DR068,"Daun semanggi, segar",KZGPI-1990,"84,7",45,4.4,0.5,8.5,1.9,"1,9",98,90,7,64.2,520.7,"0,5","0,3",0.0,64,3365,"0,01","0,5","0,7",6.0,90,D,DR,S,Sayur,tkpi_main_group,"daun semanggi, segar",daun semanggi,daun semanggi,1 gelas,1.0,gelas,100.0,False,False,False,False,45.0,4.4,0.5,8.5,64.2,520.7,98.0,1.9,False,True
DR069,"Daun simpur, segar",KZGPI-1990,"86,2",53,3.2,2.5,7.6,1.6,"0,9",228,194,"3,5",,,,,0.0,,3346,"0,02",,,5.0,100,D,DR,S,Sayur,tkpi_main_group,"daun simpur, segar",daun simpur,daun simpur,1 gelas,1.0,gelas,100.0,False,False,False,False,53.0,3.2,2.5,7.6,,,228.0,1.6,False,True
DR070,"Daun singkil, segar",KZGPI-1990,"80,9",68,2.0,1.0,15.2,3.3,"0,9",178,86,"2,1",,,,,,,6042,"0,02",,,3.0,70,D,DR,S,Sayur,tkpi_main_group,"daun singkil, segar",daun singkil,daun singkil,1 gelas,1.0,gelas,100.0,False,False,False,False,68.0,2.0,1.0,15.2,,,178.0,3.3,False,True
DR071,"Daun singkong, segar",KZGPI-1990,"84,4",50,6.2,1.1,7.1,2.4,"1,2",166,99,"1,3",16.5,23.1,"0,1",2,0.0,3204,7052,"0,04","0,1","1,8",103.0,87,D,DR,S,Sayur,tkpi_main_group,"daun singkong, segar",daun singkong,daun singkong,1 gelas,1.0,gelas,100.0,False,False,False,False,50.0,6.2,1.1,7.1,16.5,23.1,166.0,2.4,False,True
DR072,"Daun singkong ambon, segar",DABM-1964,58,144,12.7,1.2,25.2,10.2,"2,9",165,54,"3,9",44.4,62.2,"0,2","5,4",,8627,13000,"0,21",1,"4,2",220.0,87,D,DR,S,Sayur,tkpi_main_group,"daun singkong ambon, segar",daun singkong ambon,daun singkong ambon,1 gelas,1.0,gelas,100.0,False,False,False,False,144.0,12.7,1.2,25.2,44.4,62.2,165.0,10.2,False,True
DR073,"Daun singkong ampenan, segar",KZGMI-2001,"84,4",50,6.2,1.1,7.1,2.4,"1,2",352,123,"2,7",49.0,570.0,"0,2","1,3",,7917,,"0,5","0,1","1,6",103.0,87,D,DR,S,Sayur,tkpi_main_group,"daun singkong ampenan, segar",daun singkong ampenan,daun singkong ampenan,1 gelas,1.0,gelas,100.0,False,False,False,False,50.0,6.2,1.1,7.1,49.0,570.0,352.0,2.4,False,True
DR074,"Daun singkong kopang, segar",KZGMI-2001,"81,1",74,6.3,0.7,10.7,4.6,"1,2",142,115,"1,7",32.0,382.0,"0,2","1,5",,3882,,"0,5","0,5","1,9",211.0,87,D,DR,S,Sayur,tkpi_main_group,"daun singkong kopang, segar",daun singkong kopang,daun singkong kopang,1 gelas,1.0,gelas,100.0,False,False,False,False,74.0,6.3,0.7,10.7,32.0,382.0,142.0,4.6,False,True
DR075,"Daun sintrong, segar",KZGPI-1990,"88,5",36,2.6,0.9,6.1,1.7,"1,9",398,95,"9,3",64.1,444.4,"0,1","0,4",0.0,10178,8868,"0,03","0,2","0,9",3.0,94,D,DR,S,Sayur,tkpi_main_group,"daun sintrong, segar",daun sintrong,daun sintrong,1 gelas,1.0,gelas,100.0,False,False,False,False,36.0,2.6,0.9,6.1,64.1,444.4,398.0,1.7,False,True
DR076,"Daun talas, segar",KZGPI-1990,"81,1",59,3.0,0.4,13.5,3.0,2,236,50,"2,4",4.0,854.1,"0,4","0,5",0.0,3816,5740,"0,07","0,6",2,24.0,80,D,DR,S,Sayur,tkpi_main_group,"daun talas, segar",daun talas,daun talas,1 gelas,1.0,gelas,100.0,False,False,False,False,59.0,3.0,0.4,13.5,4.0,854.1,236.0,3.0,False,True
DR077,"Daun tespong, segar",DABM-1964,81,70,2.9,0.3,13.9,2.3,"1,9",155,65,"2,5",72.4,,"0,15","0,9",,171,2500,"0,05","0,7","1,4",21.0,60,D,DR,S,Sayur,tkpi_main_group,"daun tespong, segar",daun tespong,daun tespong,1 gelas,1.0,gelas,100.0,False,False,False,False,70.0,2.9,0.3,13.9,72.4,,155.0,2.3,False,True
DR078,"Daun ubi kuning, segar",KZGMI-2001,"83,5",62,3.7,0.3,11.1,6.4,"1,4",170,40,"0,6",10.0,0.0,"0,2","0,5",,3564,,"0,3","0,3","1,2",4.0,75,D,DR,S,Sayur,tkpi_main_group,"daun ubi kuning, segar",daun ubi kuning,daun ubi kuning,1 gelas,1.0,gelas,100.0,False,False,False,False,62.0,3.7,0.3,11.1,10.0,0.0,170.0,6.4,False,True
DR079,"Daun ubi merah, segar",KZGPI-1990,"84,4",48,3.0,0.3,10.8,1.4,"1,5",80,81,"6,4",32.8,517.3,0,"0,4",0.0,5453,4697,"0,1","0,2","1,2",27.0,75,D,DR,S,Sayur,tkpi_main_group,"daun ubi merah, segar",daun ubi merah,daun ubi merah,1 gelas,1.0,gelas,100.0,False,False,False,False,48.0,3.0,0.3,10.8,32.8,517.3,80.0,1.4,False,True
DR080,"Daun ubi putih, segar",KZGMI-2001,"87,5",46,2.8,0.2,8.2,4.8,"1,3",120,50,"0,8",10.0,0.0,"0,2","0,5",,103,,"0,3","0,3","0,9",8.0,75,D,DR,S,Sayur,tkpi_main_group,"daun ubi putih, segar",daun ubi putih,daun ubi putih,1 gelas,1.0,gelas,100.0,False,False,False,False,46.0,2.8,0.2,8.2,10.0,0.0,120.0,4.8,False,True
DR081,"Daun ubi tinta, segar",KZGMI-2001,"85,1",55,1.7,0.1,11.9,7.6,"1,2",120,40,"0,6",10.0,0.0,"0,2","0,5",,516,,"0,2",0,0,7.0,75,D,DR,S,Sayur,tkpi_main_group,"daun ubi tinta, segar",daun ubi tinta,daun ubi tinta,1 gelas,1.0,gelas,100.0,False,False,False,False,55.0,1.7,0.1,11.9,10.0,0.0,120.0,7.6,False,True
DR082,"Eceng, segar",DABM-1964,93,19,1.0,0.2,3.8,1.8,2,80,45,"3,7",44.8,634.1,,,,7,1000,"0,08","0,1","0,7",50.0,70,D,DR,S,Sayur,tkpi_main_group,"eceng, segar",eceng,eceng,1 gelas,1.0,gelas,100.0,False,False,False,False,19.0,1.0,0.2,3.8,44.8,634.1,80.0,1.8,False,True
DR083,"Gambas (oyong), segar",DABM-1964,"94,5",19,0.8,0.2,4.1,1.3,"0,4",19,33,"0,9",22.9,109.1,0,"0,1",,17,380,"0,03",0,"0,4",8.0,85,D,DR,S,Sayur,tkpi_main_group,"gambas (oyong), segar",gambas (oyong),gambas (oyong),1 gelas,1.0,gelas,100.0,False,False,False,False,19.0,0.8,0.2,4.1,22.9,109.1,19.0,1.3,False,True
DR084,"Genjer, segar",DABM-1964,90,35,1.7,0.2,7.7,2.5,"0,4",62,33,"2,1",64.0,905.8,,,,,3800,"0,07","0,1","1,1",54.0,70,D,DR,S,Sayur,tkpi_main_group,"genjer, segar",genjer,genjer,1 gelas,1.0,gelas,100.0,False,False,False,False,35.0,1.7,0.2,7.7,64.0,905.8,62.0,2.5,False,True
DR085,"Jagung muda/ semi, segar",DABM-1964,"89,5",35,2.2,0.1,7.4,1.9,"0,8",7,100,"0,5",353.0,230.2,"0,1","0,8",0.0,23,200,"0,08","0,16","0,9",8.0,100,D,DR,S,Sayur,tkpi_main_group,"jagung muda/ semi, segar",jagung muda semi,jagung muda semi,1 gelas,1.0,gelas,100.0,False,False,False,False,35.0,2.2,0.1,7.4,353.0,230.2,7.0,1.9,False,True
DR092,"Jantung pisang, segar",DABM-1964,"90,2",32,1.2,0.3,7.1,3.2,"1,2",30,50,"0,1",3.0,524.0,"0,09","0,3",0.0,201,170,"0,05","0,03","0,8",10.0,25,D,DR,S,Sayur,tkpi_main_group,"jantung pisang, segar",jantung pisang,jantung pisang,1 gelas,1.0,gelas,100.0,False,False,False,False,32.0,1.2,0.3,7.1,3.0,524.0,30.0,3.2,False,True
DR093,"Jengkol, segar",KZGMI-2001,"52,7",192,5.4,0.3,40.7,1.5,"0,9",4,150,"0,7",60.0,241.0,"0,3","0,6",,,,"0,05","0,2","0,5",31.0,95,D,DR,S,Sayur,tkpi_main_group,"jengkol, segar",jengkol,jengkol,1 gelas,1.0,gelas,100.0,False,False,False,False,192.0,5.4,0.3,40.7,60.0,241.0,4.0,1.5,False,True
DR094,"Jotang, segar",DABM-1964,89,34,1.9,0.3,7.1,3.5,"1,7",162,41,4,58.5,388.5,"0,3","1,2",,2,3918,"0,03",,"0,4",20.0,70,D,DR,S,Sayur,tkpi_main_group,"jotang, segar",jotang,jotang,1 gelas,1.0,gelas,100.0,False,False,False,False,34.0,1.9,0.3,7.1,58.5,388.5,162.0,3.5,False,True
DR095,"Kabau, segar",KZGMI-2001,"67,2",130,6.7,0.3,25.2,2.9,"0,6",4,204,"0,5",1.0,397.8,"0,2","0,5",,165,,"0,8","0,1","0,3",16.0,95,D,DR,S,Sayur,tkpi_main_group,"kabau, segar",kabau,kabau,1 gelas,1.0,gelas,100.0,False,False,False,False,130.0,6.7,0.3,25.2,1.0,397.8,4.0,2.9,False,True
DR096,"Kacang mekah, polong, segar",KZGPI-1990,"93,6",22,1.1,1.0,3.4,1.1,"0,9",63,296,1,2.2,69.2,"0,3",,0.0,197,116,"0,02",,"0,4",0.0,91,D,DR,S,Sayur,tkpi_main_group,"kacang mekah, polong, segar","kacang mekah, polong","kacang mekah, polong",1 gelas,1.0,gelas,100.0,False,False,False,False,22.0,1.1,1.0,3.4,2.2,69.2,63.0,1.1,False,True
DR097,"Kacang panjang, segar",KZGMI-2001,"91,8",31,2.3,0.1,5.3,2.7,"0,5",60,64,"0,6",30.0,213.0,"0,1","0,5",0.0,125,,"0,7","0,1","0,3",46.0,92,D,DR,S,Sayur,tkpi_main_group,"kacang panjang, segar",kacang panjang,kacang panjang,1 gelas,1.0,gelas,100.0,False,False,False,False,31.0,2.3,0.1,5.3,30.0,213.0,60.0,2.7,False,True
DR098,Kacang ranti polong,KZGPI-1990,"88,5",37,3.1,0.2,7.9,2.5,"0,3",103,126,"0,8",,,,,,,2312,"0,02",,,6.0,83,D,DR,S,Sayur,tkpi_main_group,kacang ranti polong,kacang ranti polong,kacang ranti polong,1 gelas,1.0,gelas,100.0,False,False,False,False,37.0,3.1,0.2,7.9,,,103.0,2.5,False,True
DR099,"Kalakai, segar",KZGMI-2001,"89,9",38,2.4,0.2,6.6,5.8,"0,9",18,90,"1,1",7.0,443.0,"0,4","0,9",,44,,"0,3","0,1",,8.0,70,D,DR,S,Sayur,tkpi_main_group,"kalakai, segar",kalakai,kalakai,1 gelas,1.0,gelas,100.0,False,False,False,False,38.0,2.4,0.2,6.6,7.0,443.0,18.0,5.8,False,True
DR100,"Kangkung, segar",KZGPI-1990,91,28,3.4,0.7,3.9,2.0,1,67,54,"2,3",64.9,250.1,"0,13","0,4",,2868,5542,"0,07","0,36",2,17.0,60,D,DR,S,Sayur,tkpi_main_group,"kangkung, segar",kangkung,kangkung,1 gelas,1.0,gelas,100.0,False,False,False,False,28.0,3.4,0.7,3.9,64.9,250.1,67.0,2.0,False,True
DR101,Kangkung tondano,KZGMI-2001,"88,5",43,1.8,0.2,8.4,4.3,"1,1",72,9,"0,7",30.0,361.0,"0,3","0,4",,2741,,"0,8","0,1","1,1",23.0,60,D,DR,S,Sayur,tkpi_main_group,kangkung tondano,kangkung tondano,kangkung tondano,1 gelas,1.0,gelas,100.0,False,False,False,False,43.0,1.8,0.2,8.4,30.0,361.0,72.0,4.3,False,True
DR102,"Kapri muda, segar",DABM-1964,"86,8",45,3.3,0.2,9.0,1.8,"0,7",51,85,1,1.7,118.4,"0,09","0,7",,72,440,"0,2","0,1","0,9",49.0,80,D,DR,S,Sayur,tkpi_main_group,"kapri muda, segar",kapri muda,kapri muda,1 gelas,1.0,gelas,100.0,False,False,False,False,45.0,3.3,0.2,9.0,1.7,118.4,51.0,1.8,False,True
DR103,Karawila,KZGMI-2001,"93,7",25,2.3,0.2,3.5,2.1,"0,3",25,67,"0,3",8.0,88.4,"0,08","0,3",,21,,"0,1","0,1","0,4",39.0,80,D,DR,S,Sayur,tkpi_main_group,karawila,karawila,karawila,1 gelas,1.0,gelas,100.0,False,False,False,False,25.0,2.3,0.2,3.5,8.0,88.4,25.0,2.1,False,True
DR104,"Kecipir muda, segar",DABM-1964,"90,4",32,2.9,0.2,5.8,5.5,"0,7",63,37,"0,3",3.3,103.8,"0,18","0,4",,261,595,"0,24","0,11","0,7",19.0,96,D,DR,S,Sayur,tkpi_main_group,"kecipir muda, segar",kecipir muda,kecipir muda,1 gelas,1.0,gelas,100.0,False,False,False,False,32.0,2.9,0.2,5.8,3.3,103.8,63.0,5.5,False,True
DR105,"Kecombrang, segar",KZGPI-1990,90,34,0.9,1.0,6.7,2.6,"1,4",60,16,1,47.1,650.6,,,0.0,0,73,0,"0,02","0,8",0.0,100,D,DR,S,Sayur,tkpi_main_group,"kecombrang, segar",kecombrang,kecombrang,1 gelas,1.0,gelas,100.0,False,False,False,False,34.0,0.9,1.0,6.7,47.1,650.6,60.0,2.6,False,True
DR106,"Kelawi, kluwih, segar",DABM-1964,70,118,1.5,0.3,27.2,5.0,1,28,32,"0,9",2.0,500.9,"0,09","0,1",,0,20,"0,1","0,03","0,9",19.0,77,D,DR,S,Sayur,tkpi_main_group,"kelawi, kluwih, segar","kelawi, kluwih","kelawi, kluwih",1 gelas,1.0,gelas,100.0,False,False,False,False,118.0,1.5,0.3,27.2,2.0,500.9,28.0,5.0,False,True
DR107,"Kembang turi, segar",DABM-1964,"87,4",51,1.8,0.6,9.6,5.0,"0,6",23,29,"0,9",22.4,275.3,"0,15","0,9",,201,105,"0,13","0,12","0,6",41.0,83,D,DR,S,Sayur,tkpi_main_group,"kembang turi, segar",kembang turi,kembang turi,1 gelas,1.0,gelas,100.0,False,False,False,False,51.0,1.8,0.6,9.6,22.4,275.3,23.0,5.0,False,True
DR108,"Kerokot, segar",DABM-1964,93,26,1.7,0.4,3.8,1.0,"1,1",103,39,"3,6",3.6,240.5,"0,23","0,9",,0,2550,"0,03","0,09","0,2",25.0,80,D,DR,S,Sayur,tkpi_main_group,"kerokot, segar",kerokot,kerokot,1 gelas,1.0,gelas,100.0,False,False,False,False,26.0,1.7,0.4,3.8,3.6,240.5,103.0,1.0,False,True
DR109,"Ketimun, segar",KZGPI-1990,"97,9",8,0.2,0.2,1.4,0.3,"0,3",29,95,"0,8",1.7,57.1,"0,02","0,1",0.0,18,314,"0,01","0,02","0,1",1.0,55,D,DR,S,Sayur,tkpi_main_group,"ketimun, segar",ketimun,ketimun,1 gelas,1.0,gelas,100.0,False,False,False,False,8.0,0.2,0.2,1.4,1.7,57.1,29.0,0.3,False,True
DR110,"Ketimun krai, segar",KZGPI-1990,"96,8",10,0.5,0.2,2.0,0.6,"0,5",20,98,1,9.7,82.1,"0,03","0,1",0.0,19,21,"0,02","0,03","0,1",3.0,82,D,DR,S,Sayur,tkpi_main_group,"ketimun krai, segar",ketimun krai,ketimun krai,1 gelas,1.0,gelas,100.0,False,False,False,False,10.0,0.5,0.2,2.0,9.7,82.1,20.0,0.6,False,True
DR112,"Komak, segar",KZGMI-2001,"74,3",99,3.3,0.1,21.2,10.3,"1,1",50,99,"13,1",15.0,567.0,"0,2","0,6",,5,,"0,2","0,19","0,1",,80,D,DR,S,Sayur,tkpi_main_group,"komak, segar",komak,komak,1 gelas,1.0,gelas,100.0,False,False,False,False,99.0,3.3,0.1,21.2,15.0,567.0,50.0,10.3,False,True
DR113,Kool kembang,DABM-1964,"91,7",25,2.4,0.2,4.9,1.6,"0,8",22,72,"1,1",46.5,187.0,"0,04","0,3",,24,90,"0,11","0,09","0,6",69.0,57,D,DR,S,Sayur,tkpi_main_group,kool kembang,kool kembang,kool kembang,1 gelas,1.0,gelas,100.0,False,False,False,False,25.0,2.4,0.2,4.9,46.5,187.0,22.0,1.6,False,True
DR114,"Kool merah,kool putih",DABM-1964,"92,4",29,1.4,0.2,5.3,1.9,"0,9",46,31,"0,5",28.3,236.8,"0,29","0,3",,46,80,"0,06","0,07","0,3",50.0,75,D,DR,S,Sayur,tkpi_main_group,"kool merah,kool putih","kool merah,kool putih","kool merah,kool putih",1 gelas,1.0,gelas,100.0,False,False,False,False,29.0,1.4,0.2,5.3,28.3,236.8,46.0,1.9,False,True
DR115,"Koro kerupuk, polong",DABM-1964,"67,2",128,8.3,0.7,22.1,,"1,7",17,12,"2,7",,,,,,,80,"0,11",,,31.0,68,D,DR,S,Sayur,tkpi_main_group,"koro kerupuk, polong","koro kerupuk, polong","koro kerupuk, polong",1 gelas,1.0,gelas,100.0,False,False,False,False,128.0,8.3,0.7,22.1,,,17.0,,False,True
DR116,"Koro wedus, polong",DABM-1964,88,46,3.0,0.3,7.9,3.3,"0,8",56,47,"1,1",2.0,249.3,"0,09","0,4",,66,870,"0,09","0,09","0,5",17.0,70,D,DR,S,Sayur,tkpi_main_group,"koro wedus, polong","koro wedus, polong","koro wedus, polong",1 gelas,1.0,gelas,100.0,False,False,False,False,46.0,3.0,0.3,7.9,2.0,249.3,56.0,3.3,False,True
DR117,"Kucai, segar",DABM-1964,"86,3",45,2.2,0.3,10.3,4.8,"0,9",52,50,"1,1",21.4,439.5,"0,11","0,5",,2685,40,"0,11","0,2","1,8",17.0,52,D,DR,S,Sayur,tkpi_main_group,"kucai, segar",kucai,kucai,1 gelas,1.0,gelas,100.0,False,False,False,False,45.0,2.2,0.3,10.3,21.4,439.5,52.0,4.8,False,True
DR118,"Kucai muda (lokio), segar",DABM-1964,86,42,3.8,0.6,7.8,4.9,"1,8",76,91,"2,5",21.8,449.1,"0,11","0,5",,2744,500,"0,11","0,2","1,8",59.0,100,D,DR,S,Sayur,tkpi_main_group,"kucai muda (lokio), segar",kucai muda (lokio),kucai muda (lokio),1 gelas,1.0,gelas,100.0,False,False,False,False,42.0,3.8,0.6,7.8,21.8,449.1,76.0,4.9,False,True
DR119,Kulit melinjo,KZGPI-1990,"71,9",111,4.5,1.1,20.7,5.0,"1,8",117,179,"2,6",,,,,0.0,,1267,"0,07",,,7.0,100,D,DR,S,Sayur,tkpi_main_group,kulit melinjo,kulit melinjo,kulit melinjo,1 gelas,1.0,gelas,100.0,False,False,False,False,111.0,4.5,1.1,20.7,,,117.0,5.0,False,True
DR120,"Kundur, segar",KZGMI-2001,94,22,0.4,0.2,4.7,1.3,"0,7",3,54,"0,5",2.0,200.0,"0,1","0,3",,7,,"0,1","0,03","0,4",1.0,57,D,DR,S,Sayur,tkpi_main_group,"kundur, segar",kundur,kundur,1 gelas,1.0,gelas,100.0,False,False,False,False,22.0,0.4,0.2,4.7,2.0,200.0,3.0,1.3,False,True
DR121,"Labu air, segar",DABM-1964,95,19,0.6,0.2,3.8,0.6,"0,4",12,18,"0,6",2.2,168.2,"0,03","0,8",,11,70,"0,04","0,02","0,4",10.0,80,D,DR,S,Sayur,tkpi_main_group,"labu air, segar",labu air,labu air,1 gelas,1.0,gelas,100.0,False,False,False,False,19.0,0.6,0.2,3.8,2.2,168.2,12.0,0.6,False,True
DR122,"Labu kuning, segar",KZGMI-2001,"86,6",51,1.7,0.5,10.0,2.7,"1,2",40,180,"0,7",280.0,220.0,"0,35","1,5",,1569,,"0,2",0,"0,1",2.0,74,D,DR,S,Sayur,tkpi_main_group,"labu kuning, segar",labu kuning,labu kuning,1 gelas,1.0,gelas,100.0,False,False,False,False,51.0,1.7,0.5,10.0,280.0,220.0,40.0,2.7,False,True
